avg_loss,epoch,reward,step
0.42130613327026367,0,-50.0,49
0.0028071783017367125,0,-50.0,99
0.0031291849445551634,0,-50.0,149
0.7127060890197754,0,-22.0,199
0.0021214408334344625,0,-15.0,249
0.0013112076558172703,0,-13.0,299
0.001041145296767354,0,-17.0,349
0.0011128325713798404,0,-50.0,399
0.0010292432270944118,0,-11.0,449
0.0018695550970733166,0,-11.0,499
0.0008575959363952279,1,-9.0,549
0.0009194398298859596,1,-58.0,599
0.0006462304154410958,1,-21.0,649
0.0005425471463240683,1,-50.0,699
0.0005211218958720565,1,-39.0,749
0.0005727190873585641,1,-50.0,799
0.000385360763175413,1,-24.0,849
0.0003537943121045828,1,-27.0,899
0.00045866944128647447,1,-38.0,949
0.00045508102630265057,1,-31.0,999
0.0003978038439527154,2,-6.0,1049
0.00023491997853852808,2,-13.0,1099
0.0002875822829082608,2,-50.0,1149
