episode_reward,epoch,loss,step
6.0,0,,0
-48.0,0,,1
6.0,0,,2
7.0,0,,3
-50.0,0,,4
2.0,0,,5
-18.0,0,,6
6.0,0,,7
-26.0,0,,8
-17.0,0,,9
-50.0,0,5.3226118087768555,10
-58.0,0,3.8878722190856934,11
-30.0,0,2.3114049434661865,12
-50.0,0,1.2036302089691162,13
-15.0,0,0.9855515360832214,14
-48.0,0,0.6834800839424133,15
0.0,0,0.7898579239845276,16
4.0,0,1.0938676595687866,17
-14.0,0,1.000298023223877,18
-2.0,0,1.2906297445297241,19
8.0,0,1.678124189376831,20
-20.0,0,1.2437224388122559,21
-13.0,0,1.184030294418335,22
-35.0,0,1.1143370866775513,23
-41.0,0,0.6437946557998657,24
-50.0,0,0.3737500309944153,25
-18.0,0,0.326846718788147,26
-20.0,0,0.23787789046764374,27
-9.0,0,0.4560566842556,28
5.0,0,0.29078319668769836,29
8.0,0,0.2501475512981415,30
-21.0,0,0.7088754773139954,31
-10.0,0,0.9750943779945374,32
-15.0,0,0.8895121216773987,33
-42.0,0,0.49375230073928833,34
-59.0,0,0.19708308577537537,35
5.0,0,0.15719150006771088,36
-1.0,0,0.1979309469461441,37
-10.0,0,0.051162224262952805,38
-30.0,0,0.3239169716835022,39
-16.0,0,0.31559476256370544,40
-15.0,0,0.4154183566570282,41
-10.0,0,0.8445230722427368,42
5.0,0,0.5005878806114197,43
-14.0,0,0.6878658533096313,44
-16.0,0,0.889592170715332,45
-30.0,0,0.6863631010055542,46
-29.0,0,0.7543864250183105,47
-16.0,0,0.7502174973487854,48
-50.0,0,0.5227386951446533,49
-27.0,0,0.2722223699092865,50
-50.0,0,0.22010153532028198,51
-37.0,0,0.15586480498313904,52
-18.0,0,0.14360693097114563,53
-11.0,0,0.14252817630767822,54
-26.0,0,0.2321319431066513,55
10.0,0,1.325737476348877,56
1.0,0,0.34687137603759766,57
-18.0,0,0.23534506559371948,58
-5.0,0,0.4189818203449249,59
-10.0,0,0.38975951075553894,60
-50.0,0,0.34406936168670654,61
10.0,0,4.155419826507568,62
5.0,0,3.3127071857452393,63
-24.0,0,1.9913398027420044,64
-19.0,0,1.8184233903884888,65
2.0,0,1.7820723056793213,66
-12.0,0,1.1015170812606812,67
-19.0,0,1.1514060497283936,68
-2.0,0,1.2741401195526123,69
-15.0,0,1.283057689666748,70
-10.0,0,1.3945785760879517,71
10.0,0,0.822530210018158,72
-10.0,0,2.2548253536224365,73
-31.0,0,1.1521828174591064,74
-23.0,0,1.0921590328216553,75
-12.0,0,0.9773349761962891,76
-15.0,0,1.3505045175552368,77
4.0,0,1.4598280191421509,78
-20.0,0,1.2968449592590332,79
-8.0,0,0.9791035056114197,80
10.0,0,0.9395760297775269,81
-11.0,0,0.8431914448738098,82
-13.0,0,0.875020444393158,83
-49.0,0,1.1381738185882568,84
-7.0,0,1.2267944812774658,85
-45.0,0,1.6367932558059692,86
-37.0,0,1.0100833177566528,87
-25.0,0,0.9158492684364319,88
-37.0,0,1.1105046272277832,89
-3.0,0,1.0918391942977905,90
8.0,0,1.3462119102478027,91
-50.0,0,1.8299157619476318,92
-5.0,0,1.3368666172027588,93
-2.0,0,1.794449806213379,94
-20.0,0,2.5111944675445557,95
10.0,0,3.346801996231079,96
-31.0,0,2.3550312519073486,97
8.0,0,1.369859218597412,98
-38.0,0,1.813858985900879,99
4.0,0,2.966275453567505,100
-48.0,0,1.9258240461349487,101
-16.0,0,1.7897206544876099,102
-32.0,0,2.086327314376831,103
10.0,0,2.319303274154663,104
5.0,0,1.5039558410644531,105
-13.0,0,1.8346304893493652,106
-12.0,0,1.903146505355835,107
-44.0,0,2.430856466293335,108
7.0,0,2.004531145095825,109
-28.0,0,1.8844355344772339,110
-18.0,0,2.1475560665130615,111
6.0,0,2.486401081085205,112
-21.0,0,2.8912227153778076,113
9.0,0,2.705054759979248,114
-11.0,0,2.582547903060913,115
-50.0,0,2.1832172870635986,116
-10.0,0,1.7123445272445679,117
-1.0,0,2.118654251098633,118
-32.0,0,2.220167875289917,119
-10.0,0,2.331650733947754,120
-17.0,0,2.024327516555786,121
-26.0,0,1.8045973777770996,122
-20.0,0,2.261414051055908,123
7.0,0,1.5918993949890137,124
-13.0,0,3.3009302616119385,125
-33.0,0,2.8961830139160156,126
0.0,0,2.409348964691162,127
7.0,0,6.2134690284729,128
-50.0,0,4.026691436767578,129
-3.0,0,2.1838247776031494,130
-50.0,0,1.6391820907592773,131
2.0,0,1.3586337566375732,132
9.0,0,1.3450119495391846,133
-4.0,0,1.224839448928833,134
-18.0,0,1.204619288444519,135
2.0,0,1.091640591621399,136
-14.0,0,1.1505935192108154,137
-18.0,0,1.1815091371536255,138
-29.0,0,1.5032062530517578,139
9.0,0,0.9879549741744995,140
-6.0,0,1.1364822387695312,141
8.0,0,1.6744621992111206,142
4.0,0,1.2971477508544922,143
